,url,streetAddress,city,state,zip,neighborhood,lat,long,bed,bath,sq_ft,type,lotSize,yearBuilt,eventDate,eventType,eventPrice,hoaPrice,hoaCurrency,hoaPeriod,stories
22,https://www.trulia.com/p/ca/san-diego/3720-robinson-pl-san-diego-ca-92103--1063336339,3720 Robinson Pl,San Diego,CA,92103,Hillcrest,32.745862618303,-117.14991361398,2bd,1ba,956.0,single-family home,5168 sqft,Built in 1925,10/27/2015,Sold,$715K,,,,1.0
23,https://www.trulia.com/p/ca/san-diego/3720-robinson-pl-san-diego-ca-92103--1063336339,3720 Robinson Pl,San Diego,CA,92103,Hillcrest,32.745862618303,-117.14991361398,2bd,1ba,956.0,single-family home,5168 sqft,Built in 1925,03/17/2005,Sold,$750K,,,,1.0
24,https://www.trulia.com/p/ca/san-diego/3720-robinson-pl-san-diego-ca-92103--1063336339,3720 Robinson Pl,San Diego,CA,92103,Hillcrest,32.745862618303,-117.14991361398,2bd,1ba,956.0,single-family home,5168 sqft,Built in 1925,11/22/2004,Sold,$710K,,,,1.0
25,https://www.trulia.com/p/ca/san-diego/3720-robinson-pl-san-diego-ca-92103--1063336339,3720 Robinson Pl,San Diego,CA,92103,Hillcrest,32.745862618303,-117.14991361398,2bd,1ba,956.0,single-family home,5168 sqft,Built in 1925,10/15/2001,Sold,$482K,,,,1.0
26,https://www.trulia.com/p/ca/san-diego/2055-sunset-blvd-san-diego-ca-92103--1010778659,2055 Sunset Blvd,San Diego,CA,92103,Mission Hills,32.75082082033,-117.18665655154,8bd,7ba,11496.0,multi-family,1.15 acres,Built in 2000,04/21/2014,Sold,$4.4M,,,,
27,https://www.trulia.com/p/ca/san-diego/1740-upas-st-18-san-diego-ca-92103--2079690734,1740 Upas St #18,San Diego,CA,92103,North Park,32.741489874699,-117.14636337575001,1bd,1ba,576.0,farm/ranch,,Built in 1980,04/09/2002,Sold,$138K,,,,
28,https://www.trulia.com/p/ca/san-diego/4470-teralta-pl-san-diego-ca-92103--1008679355,4470 Teralta Pl,San Diego,CA,92103,Mission Hills,32.756314661279,-117.17897627445,2bd,2ba,2274.0,single-family home,0.53 acres,Built in 1980,03/04/2013,Sold,$890K,,,,
29,https://www.trulia.com/p/ca/san-diego/4470-teralta-pl-san-diego-ca-92103--1008679355,4470 Teralta Pl,San Diego,CA,92103,Mission Hills,32.756314661279,-117.17897627445,2bd,2ba,2274.0,single-family home,0.53 acres,Built in 1980,10/12/2009,Sold,$690K,,,,
30,https://www.trulia.com/p/ca/san-diego/4470-teralta-pl-san-diego-ca-92103--1008679355,4470 Teralta Pl,San Diego,CA,92103,Mission Hills,32.756314661279,-117.17897627445,2bd,2ba,2274.0,single-family home,0.53 acres,Built in 1980,06/18/2009,Sold,$756K,,,,
31,https://www.trulia.com/p/ca/san-diego/4470-teralta-pl-san-diego-ca-92103--1008679355,4470 Teralta Pl,San Diego,CA,92103,Mission Hills,32.756314661279,-117.17897627445,2bd,2ba,2274.0,single-family home,0.53 acres,Built in 1980,08/14/2006,Sold,$790K,,,,
32,https://www.trulia.com/p/ca/san-diego/3633-indiana-st-28-san-diego-ca-92103--2079694960,3633 Indiana St #28,San Diego,CA,92103,North Park,32.74404728269,-117.14581592263,2bd,2ba,993.0,condo,0.51 acres,Built in 1981,07/22/2019,Sold,$499K,,,,1.0
