https://www.trulia.com/p/ca/san-diego/2923-spruce-st-san-diego-ca-92104--2079704275,2923 Spruce St,San Diego,CA,92104,North Park,32.738244968858,-117.13097524796,2bd,1ba,966,single-family home,5200 sqft,Built in 2012,08/07/1998,Sold,$175K,,,,
https://www.trulia.com/p/ca/san-diego/2201-commonwealth-ave-san-diego-ca-92104--2079702245,2201 Commonwealth Ave,San Diego,CA,92104,North Park,32.728484019647,-117.11811275495,5bd,3ba,3271,single-family home,8780 sqft,Built in 2005,01/10/2001,Sold,$55K,,,,
https://www.trulia.com/p/ca/san-diego/2201-commonwealth-ave-san-diego-ca-92104--2079702245,2201 Commonwealth Ave,San Diego,CA,92104,North Park,32.728484019647,-117.11811275495,5bd,3ba,3271,single-family home,8780 sqft,Built in 2005,11/07/1996,Sold,$28K,,,,
https://www.trulia.com/p/ca/san-diego/3420-dwight-st-san-diego-ca-92104--2079707190,3420 Dwight St,San Diego,CA,92104,North Park,32.743950591447,-117.11988052995,2bd,1ba,757,single-family home,3121 sqft,Built in 1943,04/21/2017,Sold,$655K,,,,1
https://www.trulia.com/p/ca/san-diego/3420-dwight-st-san-diego-ca-92104--2079707190,3420 Dwight St,San Diego,CA,92104,North Park,32.743950591447,-117.11988052995,2bd,1ba,757,single-family home,3121 sqft,Built in 1943,06/06/2008,Sold,$420K,,,,1
https://www.trulia.com/p/ca/san-diego/3435-nutmeg-st-san-diego-ca-92104--2079707415,3435 Nutmeg St,San Diego,CA,92104,North Park,32.73356363934,-117.11943190888,3bd,1ba,970,single-family home,,Built in 1945,06/10/2009,Sold,$455K,,,,
https://www.trulia.com/p/ca/san-diego/3435-nutmeg-st-san-diego-ca-92104--2079707415,3435 Nutmeg St,San Diego,CA,92104,North Park,32.73356363934,-117.11943190888,3bd,1ba,970,single-family home,,Built in 1945,01/15/1999,Sold,$190K,,,,
https://www.trulia.com/p/ca/san-diego/3435-nutmeg-st-san-diego-ca-92104--2079707415,3435 Nutmeg St,San Diego,CA,92104,North Park,32.73356363934,-117.11943190888,3bd,1ba,970,single-family home,,Built in 1945,11/17/1993,Sold,$133K,,,,
https://www.trulia.com/p/ca/san-diego/3425-petra-pl-san-diego-ca-92104--2079707273,3425 Petra Pl,San Diego,CA,92104,North Park,32.725864280478,-117.11873035388,3bd,1ba,1280,single-family home,,Built in 1956,01/08/1999,Sold,$194K,,,,
https://www.trulia.com/p/ca/san-diego/3034-36-quince-st-san-diego-ca-92104--2208158376,3034-36 Quince St,San Diego,CA,92104,North Park,32.736789387615,-117.12848869706,2bd,4ba,1590,multi-family,,Built in 1950,12/14/2011,Sold,$355K,,,,
https://www.trulia.com/p/ca/san-diego/3034-36-quince-st-san-diego-ca-92104--2208158376,3034-36 Quince St,San Diego,CA,92104,North Park,32.736789387615,-117.12848869706,2bd,4ba,1590,multi-family,,Built in 1950,11/07/2003,Sold,$363K,,,,
https://www.trulia.com/p/ca/san-diego/3034-36-quince-st-san-diego-ca-92104--2208158376,3034-36 Quince St,San Diego,CA,92104,North Park,32.736789387615,-117.12848869706,2bd,4ba,1590,multi-family,,Built in 1950,03/28/2001,Sold,$190K,,,,
https://www.trulia.com/p/ca/san-diego/3034-36-quince-st-san-diego-ca-92104--2208158376,3034-36 Quince St,San Diego,CA,92104,North Park,32.736789387615,-117.12848869706,2bd,4ba,1590,multi-family,,Built in 1950,10/15/1997,Sold,$8.5K,,,,
https://www.trulia.com/p/ca/san-diego/4128-30-wilson-ave-san-diego-ca-92104--2208164778,4128-30 Wilson Ave,San Diego,CA,92104,Corridor,32.752080172884,-117.11715900762,6bd,3ba,2472,multi-family,,Built in 2000,01/31/2000,Sold,$205K,,,,
https://www.trulia.com/p/ca/san-diego/3127-29-gregory-st-san-diego-ca-92104--2208159059,3127-29 Gregory St,San Diego,CA,92104,North Park,32.73800520051,-117.12085921327,4bd,2ba,1596,multi-family,,Built in 1928,07/05/2019,Sold,$815K,,,,
https://www.trulia.com/p/ca/san-diego/3127-29-gregory-st-san-diego-ca-92104--2208159059,3127-29 Gregory St,San Diego,CA,92104,North Park,32.73800520051,-117.12085921327,4bd,2ba,1596,multi-family,,Built in 1928,01/07/2005,Sold,$679K,,,,
https://www.trulia.com/p/ca/san-diego/3576-park-villa-dr-san-diego-ca-92104--2079708482,3576 Park Villa Dr,San Diego,CA,92104,North Park,32.743516130132,-117.13748494626,1bd,1ba,533,single-family home,2500 sqft,Built in 1942,09/11/2017,Sold,$534K,,,,
https://www.trulia.com/p/ca/san-diego/3576-park-villa-dr-san-diego-ca-92104--2079708482,3576 Park Villa Dr,San Diego,CA,92104,North Park,32.743516130132,-117.13748494626,1bd,1ba,533,single-family home,2500 sqft,Built in 1942,11/17/2011,Sold,$315K,,,,
https://www.trulia.com/p/ca/san-diego/3576-park-villa-dr-san-diego-ca-92104--2079708482,3576 Park Villa Dr,San Diego,CA,92104,North Park,32.743516130132,-117.13748494626,1bd,1ba,533,single-family home,2500 sqft,Built in 1942,12/30/2004,Sold,$410K,,,,
https://www.trulia.com/p/ca/san-diego/3576-park-villa-dr-san-diego-ca-92104--2079708482,3576 Park Villa Dr,San Diego,CA,92104,North Park,32.743516130132,-117.13748494626,1bd,1ba,533,single-family home,2500 sqft,Built in 1942,08/16/2001,Sold,$205K,,,,
https://www.trulia.com/p/ca/san-diego/2474-haller-st-san-diego-ca-92104--2079703026,2474 Haller St,San Diego,CA,92104,North Park,32.732281873916,-117.11413384106,4bd,3ba,1786,single-family home,,Built in 1989,12/11/1997,Sold,$175K,,,,
https://www.trulia.com/p/ca/san-diego/2474-haller-st-san-diego-ca-92104--2079703026,2474 Haller St,San Diego,CA,92104,North Park,32.732281873916,-117.11413384106,4bd,3ba,1786,single-family home,,Built in 1989,06/02/1997,Sold,$162K,,,,
https://www.trulia.com/p/ca/san-diego/2474-haller-st-san-diego-ca-92104--2079703026,2474 Haller St,San Diego,CA,92104,North Park,32.732281873916,-117.11413384106,4bd,3ba,1786,single-family home,,Built in 1989,04/30/1997,Sold,$210K,,,,
https://www.trulia.com/p/ca/san-diego/3950-ohio-st-217-san-diego-ca-92104--2079711938,3950 Ohio St #217,San Diego,CA,92104,North Park,32.749423082499,-117.12906825711,1bd,1ba,924,condo,,Built in 2006,04/06/2010,Sold,$199K,,,,
https://www.trulia.com/p/ca/san-diego/3950-ohio-st-217-san-diego-ca-92104--2079711938,3950 Ohio St #217,San Diego,CA,92104,North Park,32.749423082499,-117.12906825711,1bd,1ba,924,condo,,Built in 2006,02/06/2007,Sold,$305K,,,,
